,Open,High,Low,Close,Volume,bid_volume,ask_volume
2025-02-20 00:00:00,10000.0,10024.273255244978,9972.404167424662,10027.927907664078,110973.30152058585,55225.73139135515,55747.570129230706
2025-02-20 00:05:00,10025.835707650562,10086.778166182763,10003.34905785822,10049.602352295102,10194.210100119057,5039.456801391119,5154.753298727937
2025-02-20 00:10:00,10019.907215382449,10117.095510607433,9938.14711058919,9983.93990523192,69103.56015480922,29627.554355842207,39476.00579896702
2025-02-20 00:15:00,10053.358101385165,10152.64042424456,9954.712547183064,10027.514578227387,26498.904037943874,8030.3750369791105,18468.529000964765
2025-02-20 00:20:00,10130.92125992316,10195.998227869288,10064.040943920423,10128.772287153704,28344.686151041435,13295.215629312632,15049.470521728803
2025-02-20 00:25:00,10120.073405038815,10209.837217229167,10056.842124907147,10020.615904514143,3070.79393730975,1413.6906254815308,1657.1033118282194
2025-02-20 00:30:00,10109.237996423528,10129.491790439304,10076.945969619926,10084.631092968157,2433.501989437613,1141.6097167732366,1291.8922726643762
2025-02-20 00:35:00,10190.072111218002,10215.147698512912,10187.9919658728,10190.300859548108,17666.651753648453,9624.749521922402,8041.9022317260515
2025-02-20 00:40:00,10230.192194582729,10327.67442877922,10210.570904283959,10297.175345060727,28195.172756237658,11840.914835564987,16354.257920672671
2025-02-20 00:45:00,10207.201147809446,10221.004894609196,10147.547157581097,10175.735023709896,7149.531951825879,2915.245816585054,4234.286135240825
2025-02-20 00:50:00,10235.911965422458,10255.473452185961,10220.423345601776,10277.47683646812,7415.343581626162,3701.090760806187,3714.2528208199747
2025-02-20 00:55:00,10213.218043084762,10256.169588490031,10122.949964980007,10107.996679780685,38617.95604593068,20735.026004349525,17882.930041581156
2025-02-20 01:00:00,10190.456367277244,10250.53769686907,10171.283564954245,10249.9192176895,38671.35718055885,20377.151244537963,18294.205936020888
2025-02-20 01:05:00,10203.803942768578,10265.416267964778,10150.52942800678,10157.869123104205,19192.194513681767,12525.914215237777,6666.2802984439895
2025-02-20 01:10:00,10107.210640642552,10136.721270858523,10055.460383384709,10113.794122338655,48059.81794404805,29203.91474993376,18855.903194114293
2025-02-20 01:15:00,10021.050822351568,10113.306008942805,9960.529123816905,10041.410747594606,6807.618994315166,2184.401270244092,4623.2177240710735
2025-02-20 01:20:00,9993.879367897312,10085.33334875938,9961.156001960295,10004.381913606376,15429.940402601433,8106.738950406935,7323.2014521944975
2025-02-20 01:25:00,9944.26819565073,9983.256494355723,9857.401611916059,9938.95896286112,114448.20090625939,53461.69410755276,60986.50679870663
2025-02-20 01:30:00,9960.88742124577,10004.14673547846,9916.631045436428,9899.054401494537,23583.960731511277,10481.19602985991,13102.764701651367
2025-02-20 01:35:00,9916.659882027656,9986.324131784133,9847.228032972505,9872.553508338538,24992.036537020795,17073.518754915833,7918.517782104962
2025-02-20 01:40:00,9847.624870734504,9912.914219520233,9785.002754634244,9896.68731066482,221006.3218988146,106683.79887181064,114322.52302700398
2025-02-20 01:45:00,9920.775429564545,9958.70225789275,9909.152637656165,9891.143191487678,5435.233898061643,3194.68894085171,2240.5449572099333
