,Open,High,Low,Close,Volume,bid_volume,ask_volume
2025-02-20 00:00:00,10000.0,10030.328102606545,9911.135733063704,10025.832222296798,2349.0558646201375,1512.0232624820005,837.032602138137
2025-02-20 00:15:00,10025.835707650562,10062.187704848826,10003.087009507299,10032.78536774742,2642.02209324317,1761.6827857691276,880.3393074740422
2025-02-20 00:30:00,10019.907215382449,10026.560970185237,9926.79415631303,10044.862395278586,12005.67606245263,6004.852563668531,6000.8234987841
2025-02-20 00:45:00,10053.358101385165,10152.820950906125,9981.23184689567,10079.30395992603,34810.92614100525,18038.663133369933,16772.263007635316
2025-02-20 01:00:00,10130.92125992316,10134.901895947867,10053.65743537417,10184.889929838871,1411.6226782047725,893.8675039762742,517.7551742284983
2025-02-20 01:15:00,10120.073405038815,10186.350486636205,10099.685353781657,10080.868130453237,13363.33208893882,6882.782058269664,6480.550030669156
2025-02-20 01:30:00,10109.237996423528,10153.995225051047,10085.562724563566,10082.316754114949,13013.62472625825,6594.568573041399,6419.05615321685
2025-02-20 01:45:00,10190.072111218002,10286.767358126473,10136.954551210803,10286.64889393298,88286.08427637405,58448.355536898,29837.72873947605
2025-02-20 02:00:00,10230.192194582729,10255.358440814289,10212.586048890054,10222.50275380322,14987.595754714486,9231.955645057213,5755.640109657274
2025-02-20 02:15:00,10207.201147809446,10261.512320209791,10176.02512056813,10217.410073326722,32305.377607232407,21438.785776754663,10866.591830477744
2025-02-20 02:30:00,10235.911965422458,10285.285522292737,10203.007349177855,10232.482420982964,25368.33800216763,9825.127422116651,15543.21058005098
2025-02-20 02:45:00,10213.218043084762,10285.003325567277,10196.914689939626,10171.258015880385,2616.0832100460484,1333.5489255733362,1282.5342844727122
2025-02-20 03:00:00,10190.456367277244,10197.386920289639,10169.547300166967,10273.178885200208,47486.80759626189,30248.567029168964,17238.240567092926
2025-02-20 03:15:00,10203.803942768578,10223.577805658557,10123.341658822965,10176.881134030778,27320.606285926333,9410.83229928388,17909.773986642453
2025-02-20 03:30:00,10107.210640642552,10128.897158970052,10090.311803441038,10050.242079441286,36617.02736201461,22624.374547540174,13992.652814474437
2025-02-20 03:45:00,10021.050822351568,10095.021284639826,10018.199092652172,9998.46636621891,1117090.0655369032,416886.1192092411,700203.9463276621
2025-02-20 04:00:00,9993.879367897312,10012.78166104622,9930.982394135077,9893.855326341107,2740.476420881204,1707.99508358802,1032.481337293184
2025-02-20 04:15:00,9944.26819565073,10001.297754732017,9847.213816714066,9911.885309529438,123586.50679993349,67329.97525235507,56256.531547578415
2025-02-20 04:30:00,9960.88742124577,9982.32761588706,9927.895586047547,9912.670321383292,16523.72458163464,6234.308695512408,10289.415886122231
2025-02-20 04:45:00,9916.659882027656,10002.104297786174,9904.893199511054,9947.274030699318,29358.250832471775,14366.215541522011,14992.035290949763
2025-02-20 05:00:00,9847.624870734504,9940.407759879268,9791.455266622093,9814.467216665522,21046.462120471762,12054.615138409778,8991.846982061985
2025-02-20 05:15:00,9920.775429564545,9972.213953226632,9830.858063685344,9964.813946916353,14411.238990598837,7977.213952986485,6434.025037612351
2025-02-20 05:30:00,9910.568127235278,9945.483939223132,9832.863150385763,9979.866981676085,12458.608039327448,5866.744553299204,6591.863486028244
2025-02-20 05:45:00,9914.90539841335,9938.112005383966,9853.183538970117,9953.631796207676,30623.064185292442,20203.462832087418,10419.601353205024
2025-02-20 06:00:00,9845.265671538855,9850.16674339275,9814.247522432393,9834.662896907026,4831.084730559808,2452.7676403161718,2378.3170902436364
2025-02-20 06:15:00,9819.452235356277,9845.817472090386,9766.242570568553,9826.38057065686,46657.04287372588,23438.021756465325,23219.021117260552
2025-02-20 06:30:00,9825.880175937204,9890.164599742739,9816.914567163923,9750.958579477383,14527.600402303548,4720.020798881906,9807.579603421642
2025-02-20 06:45:00,9770.315139079674,9822.45119490407,9703.98003150509,9763.77980593647,7114.787623519623,4758.712581746814,2356.0750417728086
2025-02-20 07:00:00,9789.645610775406,9882.063906338544,9718.661280187483,9747.528672414142,14044.51408603851,5208.360683281239,8836.15340275727
2025-02-20 07:15:00,9761.224375764355,9799.905888506306,9667.025473755039,9795.111753746409,77431.52039028276,39593.66927825692,37837.85111202584
2025-02-20 07:30:00,9747.964057498231,9815.601606716558,9722.580616561087,9873.359546594222,12895.902612836808,8013.862596046749,4882.040016790059
2025-02-20 07:45:00,9719.611781758125,9767.17205317254,9717.817889478329,9743.90214306707,31522.39795118558,12173.36095978879,19349.036991396788
2025-02-20 08:00:00,9810.600867262534,9860.887673947376,9757.073398519586,9712.929460901654,10604.60610883046,5418.416237632657,5186.189871197803
2025-02-20 08:15:00,9810.919847925663,9837.190971304806,9741.577198046542,9793.199845578994,47000.891562333,18625.22959633838,28375.661965994623
2025-02-20 08:30:00,9760.015354179148,9804.418619852884,9682.871463172389,9765.992920741159,43717.67400484423,26400.14150422423,17317.53250062
2025-02-20 08:45:00,9801.131610572711,9847.273867732756,9782.14300276603,9805.412618683395,139889.60198916635,73545.06514070045,66344.5368484659
2025-02-20 09:00:00,9742.28347728728,9811.126594927111,9716.78277077576,9706.684534094265,18479.84678859354,11871.275138512776,6608.571650080763
2025-02-20 09:15:00,9753.431747388115,9845.176427697364,9703.436541348863,9765.39392873815,42987.0765759577,28277.896321317643,14709.180254640054
2025-02-20 09:30:00,9658.83954655957,9690.648160344284,9626.90734478494,9598.833965458218,24296.01294523686,13593.458718571848,10702.554226665012
2025-02-20 09:45:00,9595.66175084278,9599.711165065113,9513.0899792627,9550.326628401246,80488.67593229921,47500.91515417535,32987.76077812386
2025-02-20 10:00:00,9606.066386174129,9653.740825401066,9560.556671294746,9637.084261260528,10733.957704414688,5578.309440364408,5155.64826405028
2025-02-20 10:15:00,9642.495787769782,9694.995448788299,9565.396450692338,9593.528145642025,46397.70672103364,21053.956661109674,25343.750059923965
2025-02-20 10:30:00,9651.722126996216,9667.979540940649,9595.682321100026,9677.695471304894,18129.62652828382,10138.94231474704,7990.684213536781
